photo_block,total_counts,photo_id,smile,logo,treat,survey_block
6_f_nonesmile_none_c_block_a,31,6_f,nonesmile,none,c,a
6_f_nonsmile_none_c_block_b,32,6_f,nonsmile,none,c,b
6_f_nonsmile_none_t_block_b,13,6_f,nonsmile,none,t,b
6_f_smile_nike_t_block_c,0,6_f,smile,nike,t,c
6_f_smile_none_c_block_c,0,6_f,smile,none,c,c
6_f_smile_none_c_block_d,0,6_f,smile,none,c,d
6_f_smile_none_t_block_d,21,6_f,smile,none,t,d
6_m_nonsmile_nike_t_block_c,30,6_m,nonsmile,nike,t,c
6_m_nonsmile_none_c_block_c,30,6_m,nonsmile,none,c,c
6_m_nonsmile_none_c_block_d,0,6_m,nonsmile,none,c,d
6_m_nonsmile_none_t_block_d,13,6_m,nonsmile,none,t,d
6_m_smile_nike_t_block_a,24,6_m,smile,nike,t,a
6_m_smile_none_c_block_a,0,6_m,smile,none,c,a
6_m_smile_none_c_block_b,32,6_m,smile,none,c,b
6_m_smile_none_t_block_b,22,6_m,smile,none,t,b
7_f_nonsmile_nike_t_block_c,30,7_f,nonsmile,nike,t,c
7_f_nonsmile_none_c_block_c,30,7_f,nonsmile,none,c,c
7_f_smile_nike_t_block_d,17,7_f,smile,nike,t,d
7_f_smile_none_c_block_a,31,7_f,smile,none,c,a
7_f_smile_none_c_block_b,0,7_f,smile,none,c,b
7_f_smile_none_c_block_d,31,7_f,smile,none,c,d
7_f_smile_none_t_block_a,24,7_f,smile,none,t,a
7_f_smile_tjs_t_block_b,19,7_f,smile,tjs,t,b
7_m_nonsmile_none_c_block_b,32,7_m,nonsmile,none,c,b
7_m_nonsmile_tjs_t_block_b,7,7_m,nonsmile,tjs,t,b
7_m_smile_nike_t_block_c,16,7_m,smile,nike,t,c
7_m_smile_nike_t_block_d,18,7_m,smile,nike,t,d
7_m_smile_none_c_block_c,0,7_m,smile,none,c,c
7_m_smile_none_c_block_d,0,7_m,smile,none,c,d
8_f_nonsmile_nike_t_block_c,0,8_f,nonsmile,nike,t,c
8_f_nonsmile_none_c_block_a,31,8_f,nonsmile,none,c,a
8_f_nonsmile_none_c_block_b,32,8_f,nonsmile,none,c,b
8_f_nonsmile_none_c_block_c,0,8_f,nonsmile,none,c,c
8_f_nonsmile_tjs_t_block_a,12,8_f,nonsmile,tjs,t,a
8_f_nonsmile_tjs_t_block_b,20,8_f,nonsmile,tjs,t,b
8_f_smile_none_c_block_d,0,8_f,smile,none,c,d
8_f_smile_tjs_t_block_d,21,8_f,smile,tjs,t,d
8_m_smile_none_c_block_c,30,8_m,smile,none,c,c
8_m_smile_tjs_t_block_c,18,8_m,smile,tjs,t,c
9_f_smile_nike_t_block_b,27,9_f,smile,nike,t,b
9_f_smile_none_c_block_a,0,9_f,smile,none,c,a
9_f_smile_none_c_block_b,32,9_f,smile,none,c,b
9_f_smile_none_c_block_c,30,9_f,smile,none,c,c
9_f_smile_none_c_block_d,0,9_f,smile,none,c,d
9_f_smile_none_t_block_a,13,9_f,smile,none,t,a
9_f_smile_none_t_block_c,27,9_f,smile,none,t,c
9_f_smile_tjs_t_block_d,0,9_f,smile,tjs,t,d
9_m_nonsmile_none_c_block_b,0,9_m,nonsmile,none,c,b
9_m_nonsmile_none_t_block_b,25,9_m,nonsmile,none,t,b
9_m_smile_nike_t_block_c,22,9_m,smile,nike,t,c
9_m_smile_nike_t_block_d,22,9_m,smile,nike,t,d
9_m_smile_none_c_block_c,0,9_m,smile,none,c,c
9_m_smile_none_c_block_d,31,9_m,smile,none,c,d
